timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
383,0.6616724670381361,-0.18104951102610156,2.6352936476702116,-1.2706160954085512,0.9812444860643621,-3.3861736662054724,1.9322885624466872,-1.1622939970904635,-0.2617179933039022,2.2700578698028453
384,0.6529301158685378,-0.17620179195467778,2.6342283206643513,-1.2859974841078177,0.9849033340715609,-3.3638503535304944,1.9389275999763553,-1.1611051260262388,-0.2851066329847409,2.277913770055042
385,0.6441929340649475,-0.17134476217311032,2.633162993658491,-1.3012502741303347,0.9881682338770005,-3.340850130513387,1.9454432081952822,-1.1595129960501107,-0.30917218300770877,2.2857836955993904
386,0.6354581154757503,-0.16647685780248966,2.6328417114512948,-1.3163729402098099,0.9910378795642899,-3.3171720229503845,1.95183105568556,-1.1575147373667796,-0.333171572777907,2.2935754040508884
387,0.6267248613084007,-0.16160614734135953,2.6325204292440985,-1.3313639700922384,0.993511123313416,-3.292818000403683,1.958088831400639,-1.1551172706547754,-0.3578468775318049,2.301404390449475
388,0.6179931724643648,-0.15673263129248563,2.632199147036902,-1.3462218646871233,0.9955869758598548,-3.2677932916316235,1.9642150371514882,-1.1523196071523405,-0.3831928685110606,2.3092894932592323
389,0.6092630498449473,-0.15185631015892329,2.631877864829706,-1.360945138217388,0.9972646068902659,-3.24210669061756,1.9702081880623354,-1.1491209170491892,-0.4092007517323202,2.3172493265779877
390,0.600534494351291,-0.1469771844440174,2.6315565826225096,-1.3755323183679475,0.998543345374605,-3.215770843894433,1.9760668127192385,-1.1455205298186224,-0.43585788066264364,2.3253020072029438
391,0.5918076378306876,-0.14209532790356355,2.6319454740735653,-1.389981946432944,0.9994226798345278,-3.1888025087305416,1.9817895842636315,-1.1415180077380913,-0.4624373243754789,2.3333241517761114
392,0.5830788834577679,-0.1372168655320772,2.632334365524621,-1.4042925774616108,0.9999022585479752,-3.161222770875536,1.9873714609193787,-1.1371191240800524,-0.48962817077942944,2.3414570189619583
393,0.574348232552639,-0.1323417980673602,2.6327232569756767,-1.4184627804027723,0.9999818896898556,-3.1330572100844116,1.9928110129554113,-1.1323236877572158,-0.5174048401194984,2.3497149690529606
394,0.5656156864356943,-0.127470126246701,2.6331121484267324,-1.432491138247941,0.9996615414087742,-3.1043360016626735,1.9981068246836353,-1.1271316676554752,-0.5457371570901799,2.3581106258417996
395,0.556881246427614,-0.12260185080687448,2.633501039877788,-1.4463762481730242,0.9989413418397719,-3.0750939429168698,2.0032574946006383,-1.1215431926466464,-0.5745903243849284,2.3666545509479064
396,0.548147637181622,-0.11773848898777126,2.6345728498355516,-1.460116721678599,0.9978215790530742,-3.045370394734715,2.008264358860221,-1.1155600680408455,-0.6032420626093202,2.375184411067212
397,0.5394088203534844,-0.11288449072969069,2.635644659793315,-1.4737111847287665,0.9963027009388654,-3.0152091305993953,2.013120005082251,-1.109187191668556,-0.6323315167868753,2.3838606352188316
398,0.5306648059821485,-0.1080398616087918,2.6367164697510788,-1.4871582778885493,0.9943853150281404,-2.9846580881491516,2.017823083870698,-1.1024251766369322,-0.6618107492793559,2.392685674246855
399,0.5219156041125323,-0.10320460719047053,2.6377882797088423,-1.5004566564598378,0.992070188249698,-2.9537690218448933,2.02237226057237,-1.0952747954401685,-0.6916280056258506,2.4016589549778073
400,0.5131612247955132,-0.09837873302935343,2.638860089666606,-1.5136049906158564,0.9893582466233818,-2.922597059253974,2.0267662154113695,-1.0877369796527352,-0.7217281582590065,2.4107767551685324
401,0.5044067599717384,-0.09356503897304855,2.6405935843144683,-1.5266019655341467,0.9862505748896836,-2.891200167678706,2.031008725505885,-1.0798156138627322,-0.7513915551864123,2.41983211653789
402,0.49564396379285613,-0.08876652795964242,2.6423270789623308,-1.5394462815280487,0.9827484160758617,-2.859638542081908,2.0350902453209048,-1.071514944035504,-0.7812196861353478,2.428999954692696
403,0.4868728625910946,-0.08398321440867475,2.644060573610193,-1.5521366541766646,0.9788531709987472,-2.8279739291861157,2.0390095167677593,-1.062836385407422,-0.8111508043832778,2.4382671344762543
404,0.47809348272363866,-0.07921511269401682,2.6457940682580556,-1.5646718144533056,0.9745663977044351,-2.796268905944218,2.042765297176944,-1.0537815103984518,-0.8411223329773128,2.4476176805296306
405,0.4693058505725507,-0.07446223714382832,2.647527562905918,-1.57705050885239,0.9698898108450863,-2.7645861330256603,2.0463563594249408,-1.0443520479889146,-0.8710716112480075,2.4570330282313537
406,0.46051729656909773,-0.06972853614248754,2.6499068415671703,-1.5892714995147947,0.964825280993091,-2.7329876053261377,2.0497887960838925,-1.0345538171355786,-0.9002908602862778,2.4662642482539976
407,0.45171750465833505,-0.06501575893907771,2.6522861202284225,-1.6013335643516353,0.9593748338928642,-2.7015339216713996,2.05305106900997,-1.024390592831942,-0.9293652652797642,2.475502893343913
408,0.4429065246555703,-0.060323932212462225,2.6546653988896747,-1.613235497166481,0.9535406496505743,-2.6702835948330614,2.056142021822051,-1.0138645818630365,-0.9582363134568501,2.4847249821028803
409,0.4340844064394465,-0.05565308252290458,2.657044677550927,-1.6249761077759686,0.9473250618621301,-2.6392924207981467,2.0590605142154152,-1.0029781443850347,-0.9868482088305122,2.49390552078203
410,0.4252511999516598,-0.05100323631191802,2.659423956212179,-1.6365542221288205,0.940730556679773,-2.6086129231203476,2.0618054220804805,-0.9917337929916911,-1.015148427847059,2.5030189462412205
411,0.416416421148708,-0.046379374101746446,2.6624376716843012,-1.6479686824232516,0.9337597718176508,-2.578293884387904,2.0643851035719596,-0.9801391459193972,-1.0424537511073808,2.5117859033785632
412,0.4075677474825913,-0.041782158358896156,2.6654513871564234,-1.6592183472227418,0.926415495496766,-2.5483799726683634,2.066786094705333,-0.9681976538556623,-1.0693539473547995,2.5204224492973832
413,0.3987052593211587,-0.03721163083745995,2.6684651026285455,-1.670302091570187,0.9187006653297247,-2.5189114665409464,2.069007350891346,-0.9559122961671846,-1.0958087380100938,2.5289042145374583
