timestep,v,omega,controller,solve_time_ms
45,-0.016437936259295474,-0.47597013368816615,MPC,273.06529999987106
46,-0.01650262017194479,-0.495943445650732,MPC,249.32930000068154
47,-0.016532090840802538,-0.5164783407640283,MPC,483.4315999978571
48,-0.016526142896691267,-0.5375940168550184,MPC,438.60010000207694
49,-0.01648460023776651,-0.5593093327223239,MPC,487.8411999998207
50,-0.016407312643162957,-0.5816426080602316,MPC,386.4317999978084
51,-0.016294151810503248,-0.6046113701026892,MPC,343.47340000022086
52,-0.016145006993224704,-0.6282320463686346,MPC,343.6690999988059
53,-0.01595978037735077,-0.6525196019612365,MPC,281.7629000019224
54,-0.015738382310663424,-0.6774871192602133,MPC,363.59470000024885
55,-0.01548072647520702,-0.7031453175399445,MPC,337.77140000165673
56,-0.015186725079450618,-0.7295020100584025,MPC,347.7643000005628
57,-0.01485628413169925,-0.756561496521772,MPC,288.6577999997826
58,-0.014489298848838468,-0.7843238895801232,MPC,369.6206999993592
59,-0.014085649245243841,-0.8127843752050995,MPC,382.575600000564
60,-0.013645195939995384,-0.8419324085036346,MPC,567.7295999994385
61,-0.01316777621565179,-0.8717508487974817,MPC,272.29430000079446
62,-0.012653200354146073,-0.9022150407088425,MPC,267.7001999982167
63,-0.012101248269186017,-0.9332918515877522,MPC,278.15389999886975
64,-0.011511666445373563,-0.9649386799243063,MPC,269.09879999948316
65,-0.010884165183286844,-0.9971024543994849,MPC,251.03930000113905
66,-0.01021841613515731,-1.0297186488811516,MPC,246.29140000251937
67,-0.009514050097253382,-1.06271034483622,MPC,215.23890000025858
68,-0.008770655001394482,-1.0959873790875347,MPC,242.95879999772296
69,-0.007987774018648912,-1.129445621272009,MPC,269.01489999727346
70,-0.007164903652220148,-1.1629664313163794,MPC,205.4357999986678
71,-0.0063014916538694215,-1.1964163521803066,MPC,198.0479000012565
72,-0.005396934547997792,-1.2296470963550603,MPC,135.52720000006957
73,-0.004450574491473445,-1.2624958853980923,MPC,104.1404000025068
74,-0.003461695133995817,-1.2947861993432137,MPC,92.66410000054748
75,-0.0024295160767606513,-1.326328986404269,MPC,86.74570000221138
76,-0.001353185456745031,-1.3569243723718278,MPC,74.47150000007241
77,-0.0002317701128296505,-1.3863638931180295,MPC,96.95230000215815
78,0.0009357572799033249,-1.414433252671223,MPC,89.9055000008957
79,0.0021505347860385285,-1.440915583873132,MPC,172.00519999823882
80,0.003413832235698911,-1.4655951597179397,MPC,88.85680000093998
81,0.00472707749220559,-1.4882614727097467,MPC,91.9635999998718
82,0.006091888803021602,-1.5087135691134321,MPC,93.13430000111111
83,0.007510114122210583,-1.5267644973662609,MPC,95.16329999678419
84,0.008983878346037887,-1.5422457078917247,MPC,97.16340000159107
85,0.010515639474084841,-1.5550112277194374,MPC,97.93989999889163
86,0.012108254816976605,-1.5649414298119464,MPC,241.49709999983315
87,0.013765058537367739,-1.5719462251880851,MPC,271.441999997478
88,0.015489952075543411,-1.5759675261149162,MPC,247.5985999990371
89,0.01728750941265421,-1.5769808599131185,MPC,301.6203000006499
90,0.019163099730928508,-1.5749960531791487,MPC,289.8376000011922
91,0.021123030920201687,-1.570056952332528,MPC,407.8477000002749
92,0.02317471867506163,-1.5622401944861228,MPC,407.0900000006077
93,0.02532688778794022,-1.5516530885300965,MPC,399.5681999986118
94,0.027589814921142215,-1.538430705935988,MPC,244.39720000009402
95,0.029975626000685617,-1.522732310495853,MPC,246.59590000010212
96,0.03249866699747392,-1.5047372730144002,MPC,293.17079999964335
97,0.0351759751664234,-1.4846406184226049,MPC,236.27400000259513
98,0.0380278903117034,-1.4626483365195535,MPC,362.51009999978123
99,0.0410788648691976,-1.4389725502644088,MPC,218.42920000199229
100,0.04435856191226022,-1.4138265709711337,MPC,240.01459999999497
101,0.04790337932900566,-1.3874197648828046,MPC,220.52309999708086
102,0.05175862051963654,-1.3599519830986024,MPC,194.63149999864982
103,0.0559816736821242,-1.3316070093694363,MPC,196.19949999832897
104,0.060646815218309225,-1.3025439361426436,MPC,207.52670000001672
105,0.06585272374805799,-1.2728843233791844,MPC,247.51990000004298
106,0.07173470253772,-1.242690829589706,MPC,264.585500000976
107,0.07848544655148451,-1.21192832840812,MPC,216.40900000056718
108,0.08688059434583777,-1.177421723681429,MPC,194.5179999966058
109,0.09767749103968527,-1.1388928474190876,MPC,237.01079999955255
110,0.12198875696356128,-1.088545778431421,MPC,326.3294999997015
111,0.15369352613866283,-1.0317565681805814,MPC,269.4088999996893
112,0.21671956555944433,-0.9946561432678002,MPC,191.46209999962593
113,0.252790922482109,-0.9586446851427248,MPC,149.1610999983095
114,0.26930095997260894,-0.9350885301912604,MPC,133.318700001837
115,0.28765523610142485,-0.9181481389033863,MPC,114.89419999998063
116,0.3258331629319431,-0.8988555508698899,MPC,118.95770000046468
117,0.38302165717944214,-0.8781425174619094,MPC,168.26450000007753
118,0.473910506700784,-0.8543592519207075,MPC,86.47270000074059
119,0.5606432022016344,-0.8363057498169308,MPC,86.04759999798262
120,0.701923572085627,-0.8227353407263839,MPC,91.97110000241082
121,0.978608447297279,-0.8077167460128792,MPC,90.86199999728706
122,1.5201872243968684,-0.7902510226613437,MPC,82.84959999946295
123,1.899999999995855,-0.7649408964301909,MPC,90.84129999973811
124,1.900000000064504,-0.7312157522702952,MPC,98.70130000126665
125,1.9000000000194432,-0.7077894142784138,MPC,91.5493999964383
126,1.900000000017071,-0.6993802165288224,MPC,102.47729999900912
127,1.8999999999983033,-0.6895836658079231,MPC,91.75949999917066
128,1.307449714080498,-0.6789225112934043,MPC,101.15729999961331
129,1.061838654812607,-0.6676733380463395,MPC,231.68400000213296
130,0.8660479208489275,-0.656176931342178,MPC,261.5146999996796
131,0.7107971245294522,-0.6446547121668595,MPC,221.19999999995343
132,0.5884924344254684,-0.6332714562043052,MPC,291.2088000011863
133,0.492921330490569,-0.6221487604330181,MPC,283.8397999985318
134,0.4190024758436467,-0.6113753694707643,MPC,333.51890000267304
135,0.36258074501970017,-0.6010150859491422,MPC,372.5759000008111
136,0.3202592931702153,-0.5911128277368292,MPC,419.8488999973051
137,0.28926198684545645,-0.581699264405475,MPC,316.8649999970512
138,0.26732071940127383,-0.5727943653872684,MPC,303.9731999997457
139,0.25258311914078135,-0.564410114902384,MPC,238.8200000023062
140,0.24353696700624713,-0.55655258913696,MPC,301.33529999875464
141,0.2389483042993377,-0.5492235453546801,MPC,301.76980000032927
142,0.2378107553785987,-0.5424216374958941,MPC,357.19199999948614
143,0.23930403686099955,-0.5361433459092352,MPC,310.97719999888795
144,0.24275999106175478,-0.5303836882680727,MPC,298.14579999947455
145,0.24763478165674963,-0.5251367629758169,MPC,288.96090000125696
146,0.2534861356836636,-0.5203961643246878,MPC,328.5648000019137
147,0.25995471773835727,-0.5161552994701639,MPC,217.43190000051982
148,0.2667488875568085,-0.5124076302488497,MPC,185.09379999886733
