,t,dist_err,head_err,v_l,v_r,x,y,pitch_deg,v_act,gL,gR,t_rel
529,1777515124.2596555,2.8633933,8.440217,0.66130394,0.8177884,-12.40797367849199,33.2299264222153,0.0,0.7404529255741548,1.0012194,0.99869215,107.42171263694763
530,1777515124.4595516,2.7097437,10.166735,0.64847684,0.82918745,-12.261870767193505,33.21606848976054,0.0,0.7448861837070351,1.001424,0.99836475,107.62160873413086
531,1777515124.6601324,2.5635467,8.962758,0.65618724,0.82168,-12.114453472058166,33.20296633303736,0.0,0.7283158233502186,1.0011632,0.99866617,107.82218956947327
532,1777515124.860038,2.41887,7.3551726,0.67030233,0.80933064,-11.966101985997826,33.19536268144426,0.0,0.7357688420126653,1.0011013,0.9987052,108.02209520339966
533,1777515125.05887,2.271354,5.88782,0.68957454,0.8125148,-11.81961322030991,33.19300472218184,0.0,0.7655022663488539,1.0007943,0.9991171,108.22092723846436
534,1777515125.260081,2.122926,5.3852777,0.69555193,0.8117346,-11.670528431130764,33.19401256948762,0.0,0.7326264452632835,1.0014994,0.9982019,108.42213821411133
535,1777515125.4597328,1.9832395,5.8091073,0.69145316,0.8153509,-11.521126399814836,33.195368474573144,0.0,0.740531768679375,1.0020714,0.9974496,108.62178993225098
536,1777515125.6598685,1.827378,6.80701,0.68152905,0.8222951,-11.373134594949114,33.19584941151209,0.0,0.7574637405516119,1.0026156,0.9967745,108.8219256401062
537,1777515125.8591068,1.6765493,6.4893665,0.68524826,0.8209206,-11.221272941550986,33.197275774046396,0.0,0.7543690593156545,1.0030345,0.99622536,109.02116394042969
538,1777515126.0590856,1.5351236,6.7268314,0.6832582,0.82223403,-11.069627883785516,33.20059463629858,0.0,0.749461537256709,1.0031079,0.9960785,109.22114276885986
539,1777515126.2602386,1.3778867,6.3380857,0.61823434,0.7473825,-10.920746480805521,33.20537533409593,0.0,0.7525937178131292,1.0029511,0.99627393,109.42229580879211
540,1777515126.4606814,1.2274344,5.02579,0.54424834,0.6544743,-10.76997000362124,33.214920476426094,0.0,0.7374446168953446,1.0025748,0.99677354,109.62273859977722
541,1777515126.65983,1.089955,4.5205607,0.48054722,0.5754435,-10.623300957314333,33.22803887449888,0.0,0.6963630491014722,1.0027871,0.99661845,109.82188725471497
542,1777515126.8593853,0.94747734,5.0370746,0.41111514,0.50427884,-10.493602266238778,33.2412380775925,0.0,0.6331307029237649,1.0026543,0.9968337,110.02144241333008
543,1777515127.059342,0.8257591,5.376735,0.35606214,0.44334725,-10.374726418814827,33.25272763968712,0.0,0.5342183726669821,1.0024667,0.99706924,110.2213990688324
544,1777515127.2592626,0.7225031,4.7689986,0.35606214,0.44334725,-10.269853004162835,33.2650173233739,0.0,0.5028386947053043,1.0022634,0.9972949,110.42131972312927
545,1777515127.4594796,3.688245,-8.960133,0.7999377,0.6674855,-10.180160043696366,33.27811062963291,0.0,0.44305249307465905,1.0020962,0.9976774,110.62153673171997
546,1777515127.6592727,3.60467,-10.343535,0.8112198,0.6593859,-10.097593554748485,33.29197679591299,0.0,0.42375948530046526,1.0018861,0.9977557,110.82132983207703
547,1777515127.859363,3.5245123,-10.488413,0.81152415,0.65771586,-10.00957803276003,33.30742087808524,0.0,0.48930670674849497,1.002604,0.99714595,111.02142024040222
548,1777515128.0587509,3.4146144,-9.754908,0.80517954,0.66165787,-9.900846894508678,33.324974839105074,0.0,0.6047680259477168,1.0032259,0.9966796,111.2208080291748
549,1777515128.2593665,3.284166,-9.525551,0.8073502,0.6684451,-9.767020111118422,33.34474123300427,0.0,0.7061894100297296,1.0030901,0.9968049,111.42142367362976
550,1777515128.4598544,3.1486108,-9.264322,0.8081781,0.6775167,-9.621701452288352,33.3646346860301,0.0,0.7314378279775432,1.0037079,0.9962693,111.62191152572632
551,1777515128.6590555,2.9956667,-7.4525437,0.7868188,0.7114315,-9.47665738567874,33.38072286281188,0.0,0.7435640598892168,1.0050651,0.99514925,111.82111263275146
552,1777515128.8590827,2.8479915,-5.336205,0.7784042,0.73389417,-9.32813788771884,33.39012347893974,0.0,0.74288296002803,1.0046762,0.9955611,112.0211398601532
553,1777515129.0605612,2.7078812,-4.1192923,0.77216315,0.7404615,-9.178465031111097,33.39476470856614,0.0,0.74638905577029,1.0042963,0.99589634,112.22261834144592
554,1777515129.2595634,2.5504825,-3.8501332,0.77090466,0.74353045,-9.029453513140007,33.39707019848269,0.0,0.7599534904338581,1.0037327,0.9964186,112.4216206073761
555,1777515129.45917,2.3990092,-4.7454267,0.77769095,0.73463666,-8.877682336737323,33.40032976815799,0.0,0.7526058416411968,1.0034516,0.9966454,112.6212272644043
556,1777515129.6590168,2.2548428,-4.8482046,0.7791925,0.73396116,-8.725386446075733,33.404698838414824,0.0,0.7876404764029048,1.0029248,0.9971254,112.82107400894165
557,1777515129.859161,2.098158,-4.2332244,0.77478737,0.7403556,-8.57574131739979,33.40652992498913,0.0,0.7565783175153231,1.0026839,0.99735504,113.02121806144714
558,1777515130.0597684,1.946308,-2.8149247,0.7551191,0.7392992,-8.423827098353335,33.40455266605008,0.0,0.7493281791192032,1.0030987,0.99691194,113.22182559967041
559,1777515130.2595506,1.8034943,-2.1184154,0.74648154,0.7364033,-8.271755354241721,33.39940863937119,0.0,0.7630321720372332,1.0027033,0.99725926,113.42160773277283
560,1777515130.4600587,1.6451144,-1.5216722,0.7411501,0.7386249,-8.122651132827178,33.39247366317608,0.0,0.7484889878686654,1.0019873,0.9980573,113.62211585044861
561,1777515130.6594436,1.4948063,-0.7001405,0.73253495,0.74326205,-7.972492889769468,33.383099840595435,0.0,0.7404864064227753,1.0014298,0.9986584,113.82150077819824
562,1777515130.8590817,1.3540695,-0.43158835,0.65525264,0.6700991,-7.823644045658766,33.37220508779277,0.0,0.7405581988418015,1.0011462,0.9989126,114.02113890647888
563,1777515131.0595622,1.198931,-0.9807409,0.579878,0.5867283,-7.678151278795654,33.362161230545325,0.0,0.7255525709554221,1.0009172,0.99918455,114.22161936759949
